ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes
"2,290",Location 348 - Location 10,348,10,1,221.757801417350830
"2,297",Location 349 - Location 10,349,10,1,151.002497182293440
"2,304",Location 350 - Location 10,350,10,1,84.560553241300852
"2,311",Location 351 - Location 10,351,10,1,83.830828348327287
"2,318",Location 352 - Location 10,352,10,1,94.110568542573645
"2,325",Location 353 - Location 10,353,10,1,97.781290561815609
"2,332",Location 354 - Location 10,354,10,1,108.318084144167590
"2,339",Location 355 - Location 10,355,10,1,95.453286385313618
"2,346",Location 356 - Location 10,356,10,1,105.293791491208940
"2,353",Location 357 - Location 10,357,10,1,115.101922014166830
"2,360",Location 358 - Location 10,358,10,1,126.192838402698210
"2,367",Location 359 - Location 10,359,10,1,136.784297221497070
"2,374",Location 360 - Location 10,360,10,1,146.704809499993590
"2,381",Location 361 - Location 10,361,10,1,156.803894890321320
"2,388",Location 362 - Location 10,362,10,1,166.674752283248720
"2,395",Location 363 - Location 10,363,10,1,176.537429489530210
"2,402",Location 364 - Location 10,364,10,1,186.732051215381690
"2,409",Location 365 - Location 10,365,10,1,196.676466682601190
"2,416",Location 366 - Location 10,366,10,1,206.530007992964900
"2,423",Location 367 - Location 10,367,10,1,212.511277292573770
"2,430",Location 368 - Location 10,368,10,1,224.330748357267450
"2,437",Location 369 - Location 10,369,10,1,263.987169546228760
"2,444",Location 370 - Location 10,370,10,1,274.041844138118680
"2,451",Location 371 - Location 10,371,10,1,284.510518544987920
"2,458",Location 372 - Location 10,372,10,1,295.671333890007650
"2,465",Location 373 - Location 10,373,10,1,305.590421828127380
"2,472",Location 374 - Location 10,374,10,1,315.724477752669830
"2,479",Location 375 - Location 10,375,10,1,142.826212532632890
"2,486",Location 376 - Location 10,376,10,1,153.366309359073680
"2,493",Location 377 - Location 10,377,10,1,163.768261782038760
"2,500",Location 378 - Location 10,378,10,1,175.127494277035110
"2,507",Location 379 - Location 10,379,10,1,185.760866144439720
"2,514",Location 380 - Location 10,380,10,1,196.644840447867810
"2,521",Location 381 - Location 10,381,10,1,206.939528565690130
"2,528",Location 382 - Location 10,382,10,1,169.593620992864600
